campaign_id,headline,body_text,cta_text,unique_visitors,signatures,conversion_rate,traffic_source,cause_category,campaign_duration_days,launch_date,has_image,has_video
CAMP-2022-000,38798 Families Will Lose Their Homes. We Must Act.,"We are calling on Director Walsh to reconsider the recent decision regarding public schools. The impact on local families would be severe. 2990 residents have already signed a community letter — but Director Walsh has not responded. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. We have 51 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not rate hikes.",Sign to Tell Minister Davies: We Say No to the new dam,1250,99,7.99,social,food_security,49,2026-03-13,True,False
CAMP-2022-001,Stop Governor Mills's Plan to cut Our the community center,"This petition addresses the impact of build on our river. Independent experts warn that rezoning will cost the community an estimated $16M over the next decade. Independent experts warn that rezoning will cost the community an estimated $16M over the next decade. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not budget cuts. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Demand Minister Davies Reverse This Decision Now,8585,2435,28.37,email,education,12,2024-11-12,True,False
CAMP-2022-002,Support the urban forest Conservation,"We are calling on Councillor Park to reconsider the recent decision regarding affordable housing. The impact on local families would be severe. 4956 residents have already signed a community letter — but Director Walsh has not responded. Independent experts warn that the bypass road will cost the community an estimated $1M over the next decade. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 4956 residents have already signed a community letter — but Director Walsh has not responded. The impact on local families would be severe. 4956 residents have already signed a community letter — but Director Walsh has not responded.",Sign Before February 04 — Every Signature Counts,11504,57,0.5,paid,education,48,2025-07-12,True,False
CAMP-2022-003,How Long Will We Let City Council Destroy the green belt?,"This is not about policy — it's about Councillor Park choosing corporate interests over our families. This is not the first time Mayor Chen has ignored our community. In 1990, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the community center — not the new dam. We have 60 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 2952 residents have already signed a community letter — but Planning Board has not responded. Independent experts warn that rate hikes will cost the community an estimated $15M over the next decade.",Sign the Petition,1735,505,29.13,email,healthcare,35,2024-06-25,False,False
CAMP-2022-004,Support the community center Conservation,"If we do nothing, school closures will devastate our river within 19 days. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same. The impact on local families would be severe. 1572 residents have already signed a community letter — but Governor Mills has not responded. This is not the first time Governor Mills has ignored our community. In 1975, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not the new dam. Across the country, communities facing the same challenge have succeeded when they spoke up together. We can do the same.",Sign Before January 25 — Every Signature Counts,11504,273,2.37,social,food_security,48,2024-07-12,False,False
CAMP-2022-005,Stop Governor Mills's Plan to privatize Our the park,"Every signature sends a message: affordable housing is worth fighting for. Our children will inherit the consequences of this decision. Let's make sure they inherit our river — not deforestation. This is not the first time Senator Torres has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. We have 36 days before the final decision is made. Your signature today could change everything. The impact on local families would be severe. 2858 residents have already signed a community letter — but Minister Davies has not responded. The impact on local families would be severe. 2858 residents have already signed a community letter — but Minister Davies has not responded.",Sign Before March 16 — Every Signature Counts,14968,1438,9.61,organic,civil_rights,51,2025-05-16,True,False
CAMP-2022-006,Last Chance to Stop school closures — Vote in 14 Days,"This petition addresses the impact of demolish on the green belt. The impact on local families would be severe. 3905 residents have already signed a community letter — but Minister Davies has not responded. Our children will inherit the consequences of this decision. Let's make sure they inherit the green belt — not rezoning. Independent experts warn that rezoning will cost the community an estimated $15M over the next decade. This is not the first time Senator Torres has ignored our community. In 2025, a similar proposal was stopped by grassroots action — just like this.",Sign Before January 24 — Every Signature Counts,11010,2177,19.78,email,housing,39,2024-11-12,True,False
CAMP-2022-007,How Long Will We Let Director Walsh Destroy the community center?,"Every signature sends a message: the urban forest is worth fighting for. This is not the first time Senator Torres has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rezoning. This is not the first time Senator Torres has ignored our community. In 1986, a similar proposal was stopped by grassroots action — just like this. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rezoning. Our children will inherit the consequences of this decision. Let's make sure they inherit public schools — not rezoning.",Sign Now,13542,67,0.5,social,education,54,2026-03-19,True,False
CAMP-2022-008,Tell Senator Torres to Stop school closures Now,"Together, we can stop rezoning and protect public schools for future generations. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not toxic dumping. This is not the first time Planning Board has ignored our community. In 1993, a similar proposal was stopped by grassroots action — just like this. This is not the first time Planning Board has ignored our community. In 1993, a similar proposal was stopped by grassroots action — just like this.",Tell Governor Mills: the urban forest Belongs to the Community,13241,2859,21.59,email,education,40,2025-07-03,True,False
CAMP-2022-009,22110 Families Will Lose Their Homes. We Must Act.,"Despite 19669 letters and 19669 public comments, Planning Board is pushing ahead anyway. This is not the first time Planning Board has ignored our community. In 2002, a similar proposal was stopped by grassroots action — just like this. We have 22 days before the final decision is made. Your signature today could change everything. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not the new dam. Our children will inherit the consequences of this decision. Let's make sure they inherit the park — not the new dam.",Sign to Tell Planning Board: We Say No to toxic dumping,10695,1321,12.36,organic,healthcare,41,2025-09-24,True,True
